"国家/地区","印象数","点击次数","点击率","平均排名"
"ww","461","9","1.95%","0"
"us","650","20","3.08%","0"
"jp","12","0","0%","0"
"it","16","0","0%","0"
"gb","90","5","5.5600000000000005%","0"
"fr","22","1","4.55%","0"
"es","64","2","3.12%","0"
"de","23","1","4.3500000000000005%","0"
"cn","76","3","3.95%","0"
"ca","51","1","1.96%","0"
"br","13","0","0%","0"
