"国家/地区","印象数","点击次数","点击率","平均排名"
"ww","386","9","2.33%","0"
"us","490","14","2.86%","0"
"jp","11","0","0%","0"
"it","14","0","0%","0"
"gb","82","5","6.1000000000000005%","0"
"fr","20","1","5%","0"
"es","52","1","1.92%","0"
"de","14","1","7.140000000000001%","0"
"cn","62","3","4.84%","0"
"ca","43","1","2.33%","0"
"br","9","0","0%","0"
