"国家/地区","印象数","点击次数","点击率","平均排名"
"ww","439","9","2.05%","0"
"us","603","19","3.15%","0"
"jp","12","0","0%","0"
"it","15","0","0%","0"
"gb","89","5","5.62%","0"
"fr","22","1","4.55%","0"
"es","61","2","3.2800000000000002%","0"
"de","23","1","4.3500000000000005%","0"
"cn","74","3","4.05%","0"
"ca","51","1","1.96%","0"
"br","12","0","0%","0"
